ts,cases,fatalities,recovered,hospitalized
2020-03-17,2,0,0,2
2020-03-18,8,0,0,3
2020-03-19,13,0,0,3
2020-03-20,14,0,0,3
2020-03-21,16,0,0,4
2020-03-22,22,1,0,6
2020-03-23,29,1,0,6
2020-03-24,51,1,0,6
2020-03-25,66,1,0,6
2020-03-26,70,1,0,6
2020-03-27,82,1,0,15
2020-03-28,85,1,0,15
2020-03-29,91,2,0,14
2020-03-30,105,2,0,14
2020-03-31,120,2,0,14
2020-04-01,140,2,0,30
2020-04-02,160,2,0,38
2020-04-03,197,2,1,38
2020-04-04,203,2,1,37
2020-04-05,223,2,1,37
2020-04-06,239,2,1,42
2020-04-07,248,2,1,42
2020-04-08,252,2,3,42
2020-04-09,255,2,3,42
2020-04-10,262,2,5,42
2020-04-11,267,2,5,42
2020-04-12,273,3,5,41
2020-04-13,278,4,9,41
2020-04-14,288,4,46,34
2020-04-15,290,4,55,31
2020-04-16,303,4,55,31
2020-04-17,305,5,55,34
2020-04-18,308,5,55,38
2020-04-19,311,5,55,38
2020-04-20,313,5,90,35
2020-04-21,314,5,101,34
2020-04-22,316,5,116,29
2020-04-23,319,5,123,24
2020-04-24,319,6,123,21
2020-04-25,321,6,153,20
2020-04-26,321,7,153,20
2020-04-27,321,7,189,13
2020-04-28,321,7,199,13
2020-04-29,322,7,203,10
2020-04-30,322,7,214,7
2020-05-01,322,7,240,7
2020-05-02,322,8,245,6
2020-05-03,323,8,249,5
2020-05-04,324,8,253,2
2020-05-05,324,8,253,1
2020-05-06,324,8,265,0
2020-05-07,324,8,265,0
2020-05-08,324,8,267,0
2020-05-09,324,9,274,0
2020-05-10,324,9,290,0
2020-05-11,324,9,298,0
2020-05-12,324,9,298,0
2020-05-13,324,9,307,0
2020-05-14,324,9,309,0
2020-05-15,324,9,311,0
2020-05-16,324,9,311,0
2020-05-17,324,9,311,0
2020-05-18,324,9,311,0
2020-05-19,324,9,312,0
2020-05-20,324,9,314,0
2020-05-21,324,9,314,0
2020-05-22,324,9,314,0
2020-05-23,324,9,314,0
2020-05-24,324,9,315,0
2020-05-25,324,9,315,0
2020-05-26,324,9,315,0
2020-05-27,324,9,315,0
2020-05-28,324,9,315,0
2020-05-29,324,9,315,0
2020-05-30,324,9,315,0
2020-05-31,324,9,315,0
2020-06-01,324,9,315,0
2020-06-02,324,9,315,0
2020-06-03,324,9,315,0
2020-06-04,324,9,315,0
2020-06-05,324,9,315,0
2020-06-06,324,9,315,0
2020-06-07,324,9,315,0
2020-06-08,324,9,315,0
2020-06-09,324,9,315,0
2020-06-10,324,9,315,0
2020-06-11,324,9,315,0
2020-06-12,324,9,315,0
2020-06-13,324,9,315,0
2020-06-14,325,9,315,0
2020-06-15,326,9,315,0
2020-06-16,326,9,315,1
2020-06-17,333,9,315,2
2020-06-18,337,9,315,4
2020-06-19,354,9,315,4
2020-06-20,358,9,315,8
2020-06-21,361,9,315,9
2020-06-22,367,9,315,12
2020-06-23,383,9,315,12
2020-06-24,395,9,315,13
2020-06-25,424,9,315,15
2020-06-26,449,9,315,18
2020-06-27,475,10,315,18
2020-06-28,498,12,315,28
2020-06-29,526,13,315,32
2020-06-30,554,13,315,32
2020-07-01,610,13,315,38
2020-07-02,653,13,315,38
2020-07-03,708,14,315,51
2020-07-04,742,14,315,58
2020-07-05,893,14,315,74
2020-07-06,1023,17,315,80
2020-07-07,1197,18,320,80
2020-07-08,1381,18,320,79
2020-07-09,1516,20,320,80
2020-07-10,1624,21,325,79
2020-07-11,1676,25,325,79
2020-07-12,1727,25,328,79
2020-07-13,1764,25,330,82
2020-07-14,1869,25,348,92
2020-07-15,1939,25,357,122
2020-07-16,1998,26,357,127
2020-07-17,2038,28,378,137
2020-07-18,2135,31,380,151
2020-07-19,2269,33,387,156
2020-07-20,2380,35,387,175
2020-07-21,2471,35,426,172
2020-07-22,2568,39,496,178
2020-07-23,2640,40,538,171
2020-07-24,2726,43,642,188
2020-07-25,2794,43,663,195
2020-07-26,2849,43,738,198
2020-07-27,2934,45,808,188
2020-07-28,2997,45,839,190
2020-07-29,3063,47,931,197
2020-07-30,3109,48,1005,195
2020-07-31,3182,49,1073,191
2020-08-01,3251,51,1293,195
2020-08-02,3278,51,1445,195
2020-08-03,3324,53,1687,200
2020-08-04,3384,54,1869,197
2020-08-05,3438,57,2017,197
2020-08-06,3518,60,2178,177
2020-08-07,3566,61,2296,160
2020-08-08,3607,62,2407,160
2020-08-09,3662,67,2452,160
2020-08-10,3711,70,2521,158
2020-08-11,3773,73,2558,160
2020-08-12,3832,73,2638,152
2020-08-13,3878,73,2680,150
2020-08-14,3958,73,2752,142
2020-08-15,4011,75,2830,142
2020-08-16,4056,78,2910,142
2020-08-17,4100,80,2986,129
2020-08-18,4151,80,3035,124
2020-08-19,4209,81,3127,116
2020-08-20,4247,81,3186,104
2020-08-21,4288,82,3281,104
2020-08-22,4313,84,3333,102
2020-08-23,4356,84,3356,102
2020-08-24,4389,85,3420,105
2020-08-25,4464,88,3480,109
2020-08-26,4523,88,3558,104
2020-08-27,4617,90,3606,103
2020-08-28,4688,92,3731,105
2020-08-29,4777,96,3839,113
2020-08-30,4817,99,3963,113
2020-08-31,4905,100,4021,109
2020-09-01,4977,102,4058,107
2020-09-02,5102,104,4104,105
2020-09-03,5225,104,4164,104
2020-09-04,5379,106,4203,106
2020-09-05,5518,107,4224,110
2020-09-06,5605,108,4231,115
2020-09-07,5853,109,4272,126
2020-09-08,6025,114,4312,126
2020-09-09,6165,114,4350,124
2020-09-10,6334,114,4393,128
2020-09-11,6474,117,4460,124
2020-09-12,6825,118,4491,125
2020-09-13,7173,120,4507,136
2020-09-14,7507,121,4589,171
2020-09-15,7681,123,4692,170
2020-09-16,7883,127,4764,209
2020-09-17,8084,129,4892,229
2020-09-18,8317,133,4997,235
2020-09-19,8601,134,5129,241
2020-09-20,8839,136,5268,241
2020-09-21,9038,138,5425,281
2020-09-22,9358,146,5544,279
2020-09-23,9627,151,5728,282
2020-09-24,9906,154,5917,286
2020-09-25,10102,156,6177,307
2020-09-26,10357,158,6368,310
2020-09-27,10569,158,6456,294
2020-09-28,10940,163,6721,311
2020-09-29,11206,164,7002,258
2020-09-30,11453,169,7192,267
2020-10-01,11656,170,7397,293
2020-10-02,11842,173,7618,288
2020-10-03,12083,175,7803,263
2020-10-04,12248,180,7953,264
2020-10-05,12507,184,8308,273
2020-10-06,12699,189,8557,274
2020-10-07,12917,191,8907,264
2020-10-08,13196,192,9154,252
2020-10-09,13558,195,9326,259
2020-10-10,13761,199,9429,248
2020-10-11,13984,204,9620,254
2020-10-12,14272,213,9920,264
2020-10-13,14734,215,10063,254
2020-10-14,15053,219,10201,284
2020-10-15,15274,221,10355,276
2020-10-16,15507,228,10569,292
2020-10-17,15591,231,10768,292
2020-10-18,15730,236,10994,295
2020-10-19,15848,240,11288,320
2020-10-20,16028,247,11581,294
2020-10-21,16192,250,11815,283
2020-10-22,16347,253,12093,285
2020-10-23,16536,255,12378,286
2020-10-24,16730,263,12601,237
2020-10-25,17022,266,12775,240
2020-10-26,17354,270,13016,240
2020-10-27,17591,275,13251,231
2020-10-28,18110,282,13485,242
2020-10-29,18457,290,13727,239
2020-10-30,19007,294,13942,255
2020-10-31,19349,301,14084,230
2020-11-01,19706,313,14216,250
2020-11-02,20256,320,14456,271
2020-11-03,20789,322,14635,284
2020-11-04,21315,326,14887,289
2020-11-05,21819,329,15115,267
2020-11-06,22284,330,15294,271
2020-11-07,22713,333,15544,303
2020-11-08,23093,337,15893,321
2020-11-09,24050,342,16089,319
2020-11-10,24651,349,16378,317
2020-11-11,25370,356,16542,302
2020-11-12,25509,364,16788,306
